Timestamp,windmill.RPM,windmill.Vibration,windmill.AmbientTemperature,windmill.RelativeHumidity,windmill.TurnOff
5/1/2017 18:18,12,0.333333333,26.34895833,99.99847412,0
5/1/2017 18:19,12.83333333,1,26.34375,99.99847412,1
5/1/2017 18:20,13.33333333,1,26.34895833,99.99847412,1
5/1/2017 18:21,12.83333333,0.666666667,26.34895833,99.99847412,0
5/1/2017 18:22,12.5,0.333333333,26.34375,99.99847412,0
5/1/2017 18:23,12,0.666666667,26.34895833,99.99847412,0
5/1/2017 18:24,10.5,0.333333333,26.34375,99.99847412,0
5/1/2017 18:25,12.66666667,0.5,26.34375,99.99847412,0
5/1/2017 18:26,12,0.333333333,26.34375,99.99847412,0
5/1/2017 18:27,13.33333333,0,26.34375,99.99847412,0
5/1/2017 18:28,13.33333333,0.5,26.34895833,99.99847412,0
5/1/2017 18:29,11.16666667,0.5,26.34895833,99.99847412,0
5/1/2017 18:30,12.16666667,0.666666667,26.34895833,99.99847412,0
5/1/2017 18:31,12.5,0.333333333,26.34895833,99.99847412,0
5/1/2017 18:32,12.83333333,0.5,26.359375,99.99847412,0
5/1/2017 18:33,12,0.5,26.35416667,99.99847412,0
5/1/2017 18:34,12.5,0.166666667,26.36979167,99.99847412,0
5/1/2017 18:35,12,0.5,26.359375,99.99847412,0
5/1/2017 18:36,12.5,0.833333333,26.36458333,99.99847412,1
5/1/2017 18:37,12.66666667,0.5,26.359375,99.99847412,0
5/1/2017 18:38,12.5,0.166666667,26.38541667,99.99847412,0
5/1/2017 18:39,12.66666667,0.666666667,26.390625,99.99847412,0
5/1/2017 18:40,11.5,0.666666667,26.38020833,99.99847412,0
5/1/2017 18:41,12.16666667,0.333333333,26.36458333,99.99847412,0
5/1/2017 18:42,11.16666667,0.333333333,26.359375,99.99847412,0
5/1/2017 18:43,10.83333333,0.666666667,26.35416667,99.99847412,0
5/1/2017 18:44,12.83333333,0.666666667,26.34895833,99.99847412,0
5/1/2017 18:45,10.83333333,0.5,26.34895833,99.99847412,0
5/1/2017 18:46,10,0.333333333,26.34375,99.99847412,0
5/1/2017 18:47,12.5,0.666666667,26.34375,99.99847412,0
5/1/2017 18:48,12.5,0.333333333,26.34895833,99.99847412,0
5/1/2017 18:49,10.5,0.5,26.34895833,99.99847412,0
5/1/2017 18:50,11.33333333,0.666666667,26.34375,99.99847412,0
5/1/2017 18:51,12.66666667,0.333333333,26.34895833,99.99847412,0
5/1/2017 18:52,12.16666667,0.5,26.34375,99.99847412,0
5/1/2017 18:53,11.66666667,0.5,26.34895833,99.99847412,0
5/1/2017 18:54,13,0.5,26.375,99.99847412,0
5/1/2017 18:55,12.83333333,0.666666667,26.38020833,99.99847412,0
5/1/2017 18:56,11.33333333,0.333333333,26.38541667,99.99847412,0
5/1/2017 18:57,11.33333333,0.5,26.390625,99.99847412,0
5/1/2017 18:58,12.16666667,0.666666667,26.40625,99.99847412,0
5/1/2017 18:59,13,0.333333333,26.40625,99.99847412,0
5/1/2017 19:00,11.33333333,0.5,26.40104167,99.99847412,0
5/1/2017 19:01,11.66666667,0.666666667,26.40625,99.99847412,0
5/1/2017 19:02,12,0.166666667,26.40625,99.99847412,0
5/1/2017 19:03,12.66666667,0.666666667,26.40625,99.99847412,0
5/1/2017 19:04,13.16666667,0.5,26.40625,99.99847412,0
5/1/2017 19:05,12.33333333,0.333333333,26.40625,99.99847412,0
5/1/2017 19:06,11.16666667,0.5,26.40625,99.99847412,0
5/1/2017 19:07,12.83333333,0.666666667,26.40625,99.99847412,0
5/1/2017 19:08,12.5,0.5,26.40625,99.99847412,0
5/1/2017 19:09,12.5,0.833333333,26.40625,99.99847412,1
5/1/2017 19:10,13.2,0.6,26.40625,99.99847412,0
